Answer,Answer Match,Attempt #,Attempt End,Attempt Start,Bonus?,Difficulty,FirstName,LastName,Org Defined ID,Out Of,Processed,Q #,Q Text,Q Title,Q Type,Score,Section #,Username
They do it on purpose by examining the behavior and the thought process that drives it.,,1,28/10/2024 10:24 AM,28/10/2024 8:30 AM,False,1,First name 97,Last name 97,isis$97,1,1,1,"Evolutionary psychology, sometimes also called functionalism, is an approach to psychology that considers psychological processes from the perspective of their usefulness in evolutionary terms. For example, ingroup favoritism (our tendency to prefer people from our own group) would be beneficial because it stimulates the emergence of protective communities. If you think of this in terms of Daniel Dennet’s stances (or: levels of analysis), which stance do evolutionary psychologists adopt, and (briefly) why?",Evolutionary psychology,WR,0,,97
Pre-conventional: Behavior is judged based on whether it leads to rewards or punishments. Conventional: Actions are considered right if they align with societal expectations and legal standards. Post-conventional: Recognizes that moral principles may sometimes clash with one another.,,1,28/10/2024 10:24 AM,28/10/2024 8:30 AM,False,1,First name 97,Last name 97,isis$97,1,1,2,"According to Kohlberg, what are three levels of moral development? Very briefly describe each level. (Each level is sometimes split up into two stages. You don’t need to describe these stages.)",Kohlberg’s stages,WR,0,,97
"Affective forecasting refers to predicting how our future actions will influence our emotions later on. It's crucial in end-of-life decisions because people often exaggerate how negatively they'll feel if faced with a serious illness. As a result, once the illness occurs, their preferences may shift from their earlier stance on ending their life under such circumstances.",,1,28/10/2024 10:24 AM,28/10/2024 8:30 AM,False,1,First name 97,Last name 97,isis$97,1,1,3,"What is affective forecasting, and why is it important to consider it in end-of-life decisions?",Affective forecasting,WR,0,,97
"They chose the design stance because they followed a process of cause and effect, similar to a machine's chain reaction that leads to a specific behavior.",,1,28/10/2024 10:24 AM,28/10/2024 8:30 AM,False,1,First name 97,Last name 97,isis$97,1,1,4,"Behaviorism was an approach to psychology, mainly popular in the early 20th century, that emphasized that the mind could not be measured, and that psychologists should therefore focus on how stimuli trigger behavior. If you think of this in terms of Daniel Dennet’s stances (or: levels of analysis), which stance did behaviorists adopt, and (briefly) why?",Behaviorism,WR,0,,97
The idea that supernatural occurrences provide straightforward answers to complicated situations and assign qualities to events that aren't actually present.,,1,28/10/2024 10:24 AM,28/10/2024 8:30 AM,False,1,First name 97,Last name 97,isis$97,1,1,5,"During the lecture, we reviewed several cognitive and personality factors that contribute to conspiratorial thinking. Can you name three of these factors?",Factors contribution to conspiracy theory,WR,0,,97
The representative heuristic means we tend to classify an object or person into a category if it closely matches the typical characteristics of that category.,,1,28/10/2024 10:24 AM,28/10/2024 8:30 AM,False,1,First name 97,Last name 97,isis$97,1,1,6,"Imagine that one of your colleagues from the lectures looks like a fashion model. Based on this observation, you assume that he or she probably is a fashion model. Which heuristic underlies this assumption? Briefly explain this heuristic.",Like a fashion model,WR,0,,97
"Impact bias refers to our tendency to exaggerate how much our future actions will influence our emotions. This can lead people to stay in relationships they should leave because they believe the breakup will be far more painful than it actually would be, causing them to avoid ending the relationship.",,1,28/10/2024 10:24 AM,28/10/2024 8:30 AM,False,1,First name 97,Last name 97,isis$97,1,1,7,"What is impact bias? And how could impact bias prevent people from breaking up, even when they are unhappy in their relationship?",Impact bias,WR,0,,97
"The availability heuristic means we judge how likely something is based on how quickly we can think of examples. Confirmation bias happens when we believe a hypothesis is true just because we see a lot of supporting evidence, without checking if the hypothesis is too broad or narrow. Together, these biases lead to overestimation because the more moral outrage we encounter on social media, the more it sticks in our minds, making us seek out even more evidence that confirms our beliefs.",,1,28/10/2024 10:24 AM,28/10/2024 8:30 AM,False,1,First name 97,Last name 97,isis$97,1,1,8,"We tend to overestimate how many people are morally outraged based on what we see on social media. Which two biases primarily contribute to this? Describe them, and explain how they work together to cause this overestimation.",Moral outrage,WR,0,,97
"Loss aversion shows that people prefer to avoid losing something rather than gaining something of equal value, leading them to steer clear of scenarios where potential losses and gains are balanced.",,1,28/10/2024 10:24 AM,28/10/2024 8:30 AM,False,1,First name 97,Last name 97,isis$97,1,1,9,"When expressed in terms of utility in prospect theory, what does loss aversion reflect?",Prospect theory and utilities,WR,0,,97
"Illusory causation occurs when we mistakenly believe a stimulus causes a reaction, even though another factor might be responsible. Illusory correlation, on the other hand, happens when we falsely assume that two events consistently occur together.",,1,28/10/2024 10:24 AM,28/10/2024 8:30 AM,False,1,First name 97,Last name 97,isis$97,1,1,10,What is the difference between illusory causation and illusory correlation?,Illusory causation and correlation,WR,0,,97
"A delusional conspiracy theory lacks any supporting evidence, whereas a non-delusional one is backed by actual evidence.",,1,28/10/2024 10:24 AM,28/10/2024 8:30 AM,False,1,First name 97,Last name 97,isis$97,1,1,11,What distinguishes a delusional conspiracy theory from a non-delusional conspiracy theory?,Delusional conspiracy theories,WR,0,,97
"Events A and B must be clearly defined. B must occur whenever A occurs. It should be reasonable for B to result from A each time A happens. The relationship between A and B must hold consistently over time and space. Additionally, A and B should have a logical connection in terms of cause and effect.",,1,28/10/2024 10:24 AM,28/10/2024 8:30 AM,False,1,First name 97,Last name 97,isis$97,1,1,12,"To judge whether event A causes event B, or merely correlates with event B, we make use of five heuristics, as described in the lecture. What are these heuristics? Provide a very brief explanation of each, illustrating how they apply to events A and B in your explanation.",Causality,WR,0,,97
"When sensory data becomes less dependable, prior beliefs gain more influence. However, the actual perception of events will fall somewhere between the sensory input and those pre-existing beliefs.",,1,28/10/2024 10:24 AM,28/10/2024 8:30 AM,False,1,First name 97,Last name 97,isis$97,1,1,13,"In the ideal-observer model of perceptual decision making, prior beliefs are combined with sensory evidence to create a perception. That is, what you perceive is a combination of what you expect and the information that reaches your senses. What happens to the influence of prior beliefs on perception when the reliability of sensory information decreases?",Ideal observers,WR,0,,97
"Conditioning refers to the process of learning to connect two things. In classical conditioning, it involves learning that a specific stimulus leads to a specific response. In operant conditioning, it involves learning that a certain action results in a particular consequence.",,1,28/10/2024 10:24 AM,28/10/2024 8:30 AM,False,1,First name 97,Last name 97,isis$97,1,1,14,What is conditioning? And what is the difference between classical and operant conditioning?,Conditioning,WR,0,,97
"Anchoring happens when an initial impression acts as a reference point, causing later information to be influenced by that first piece of data. The primacy effect refers to the first information received about something. Both concepts share the idea that the initial information, or primacy effect, becomes the anchor that shapes how subsequent details are evaluated.",,1,28/10/2024 10:24 AM,28/10/2024 8:30 AM,False,1,First name 97,Last name 97,isis$97,1,1,15,"What is anchoring, and what is the primacy effect? And what do they have in common?",Anchoring and primacy,WR,0,,97
"The more you encounter something, the more you tend to like it—this is known as the mere exposure effect.",,1,28/10/2024 10:24 AM,28/10/2024 8:30 AM,False,1,First name 97,Last name 97,isis$97,1,1,16,"Politicians often keep repeating the same statements over and over again. In addition to the availability heuristic, through which psychological mechanism do they hope to make their message more attractive by frequently repeating it?",Politicians repeating themselves,WR,0,,97
"Loss aversion influences how risk-averse individuals are because people typically steer clear of scenarios where potential gains and losses are comparable. When their circumstances are stable, individuals usually become more loss-averse and avoid risks. However, if the situation is already unstable, they tend to take more risks since losses may occur even without any action.",,1,28/10/2024 10:24 AM,28/10/2024 8:30 AM,False,1,First name 97,Last name 97,isis$97,1,1,17,How does loss aversion affect the degree to which people are risk averse?,Risk aversion,WR,0,,97
"System 1 operates quickly, driven by emotions and intuition. In contrast, System 2 is slower, more thoughtful, and takes time to process. System 1 tends to dominate because it shapes our initial thoughts, and altering these thoughts demands effort.",,1,28/10/2024 10:24 AM,28/10/2024 8:30 AM,False,1,First name 97,Last name 97,isis$97,1,1,18,"Although Jonathan Haidt’s social-intuitionist model of moral judgment is not directly phrased in terms of System 1 and System 2, you can easily interpret it that way. According to the social-intuitionist model, what is the role of System 1 and System 2 thinking in moral reasoning? And which System is most dominant according to this model?",System 1 and 2 thinking and social intuitionism,WR,0,,97
Memory source confusion.,,1,28/10/2024 10:24 AM,28/10/2024 8:30 AM,False,1,First name 97,Last name 97,isis$97,1,1,19,"If you quiz yourself while preparing for an exam, you are likely to give incorrect answers when you don’t know the material very well yet. And then you learn by seeing the correct answer. Through which psychological mechanism can these incorrect answers interfere with learning?",Learning,WR,0,,97
People with major depressive disorder are actually better at predicting negative events because they don’t have the typical positivity bias that leads others to underestimate how often bad things occur. This bias is usually a sign of good mental health.,,1,28/10/2024 10:24 AM,28/10/2024 8:30 AM,False,1,First name 97,Last name 97,isis$97,1,1,20,People often make predictions about how likely it is that something bad will happen to them. Does major depressive disorder make people less accurate at making such predictions?,Major depressive disorder,WR,0,,97
"A causal model explains the reasons behind events as they unfolded. People often piece together a story of what actually occurred, but they don’t consider alternative outcomes, which fuels hindsight bias—the idea that the result was obvious all along.",,1,28/10/2024 10:24 AM,28/10/2024 8:30 AM,False,1,First name 97,Last name 97,isis$97,1,1,21,"What is a causal model (of past events), and how does it contribute to hindsight bias?",Hindsight bias and causal models,WR,0,,97
"The Dutch healthcare system operates on a structured framework because it requires adherence to specific steps. Attending a Dutch birthday party involves following a social script, as it's a typical scenario with expected behaviors.",,1,28/10/2024 10:24 AM,28/10/2024 8:30 AM,False,1,First name 97,Last name 97,isis$97,1,1,22,"When people apply for Dutch nationality or a Dutch residence permit, they need to complete a test of Dutch culture as part of the so-called inburgeringsexamen. As part of this test, people are supposed to understand how the Dutch healthcare system works, and how to ‘properly’ behave at a birthday party. Which of these two examples is a schema, and which is a script, and (briefly) why?",Schemas and scripts,WR,0,,97
"Prospect theory suggests that individuals tend to downplay low probabilities. However, there's a distinction: while low probabilities are generally underestimated, extremely low probabilities are often seen as impossible.",,1,28/10/2024 10:24 AM,28/10/2024 8:30 AM,False,1,First name 97,Last name 97,isis$97,1,1,23,"According to prospect theory, do people over- or underestimate low probabilities? And does this differ between merely low probabilities (e.g. 10%) and extremely low probabilities (e.g. 0.01%)?",Prospect theory and probabilities,WR,0,,97
"Expected utility theory considers both personal preferences and attitudes toward risk, not just financial outcomes measured in money. In contrast, expected value theory ignores these factors.",,1,28/10/2024 10:24 AM,28/10/2024 8:30 AM,False,1,First name 97,Last name 97,isis$97,1,1,24,What are the two main differences between expected value theory and expected utility theory?,Value and utility,WR,0,,97
"Expected value theory focuses solely on monetary outcomes, ignoring heuristics and biases, and assumes perfect knowledge of probabilities, making it poor at explaining human behavior. Expected utility theory considers non-monetary utilities but still assumes full probability awareness and fails to account for heuristics and biases, limiting its applicability to human behavior. Multi-attribute utility theory assigns weights to different attributes, making it useful for complex decisions, though it also overlooks heuristics and biases. Prospect theory, however, incorporates heuristics and biases, offering a descriptive model of how people make decisions, particularly in terms of gains and losses.",,1,28/10/2024 10:24 AM,28/10/2024 8:30 AM,False,1,First name 97,Last name 97,isis$97,1,1,25,"What are the four models of choice, value, and utility that we considered in the lecture? Very briefly explain each model.","Models of choice, value, and utility",WR,0,,97
"Loss aversion means people tend to steer clear of scenarios where potential gains and losses are balanced because losses feel more significant than gains. Risk aversion, on the other hand, refers to the preference for certainty over uncertainty, leading individuals to avoid situations with unknown risks.",,1,28/10/2024 10:24 AM,28/10/2024 8:30 AM,False,1,First name 97,Last name 97,isis$97,1,1,26,What is the difference between loss aversion and risk aversion?,Loss and risk aversion,WR,0,,97
"Seeking the best possible option is what maximizing is about, whereas satisficing involves settling for a choice that meets basic standards. People with high neuroticism tend to lean toward the maximizing approach.",,1,28/10/2024 10:24 AM,28/10/2024 8:30 AM,False,1,First name 97,Last name 97,isis$97,1,1,27,"Briefly describe the maximizing and satisficing decision styles. If someone scores high on the neuroticism personality trait, which decision style is he or she most likely to adopt?",Decision styles,WR,0,,97
